,index,context,question0,question1,question2,question3,answer0,answer1,answer2,answer3
827,1041,"After they each performed, both were deemed equal until Apollo decreed they play and sing at the same time. As Apollo played the lyre, this was easy to do. Marsyas could not do this, as he only knew how to use the flute and could not sing at the same time. Apollo was declared the winner because of this. Apollo flayed Marsyas alive in a cave near Celaenae in Phrygia for his hubris to challenge a god. He then nailed Marsyas' shaggy skin to a nearby pine-tree. Marsyas' blood turned into the river Marsyas.",What instrument did Apolo play?,What instrument did Marsyas know how to play?,Who could not sing at the same time he played the flute?,What is said to have turned into the river Marsyas?,lyre,flute,Marsyas,Marsyas' blood
828,1042,"After two forays into more serious dramatic films, Spielberg then directed the third Indiana Jones film, 1989's Indiana Jones and the Last Crusade. Once again teaming up with Lucas and Ford, Spielberg also cast actor Sean Connery in a supporting role as Indy's father. The film earned generally positive reviews and was another box office success, becoming the highest grossing film worldwide that year; its total box office receipts even topped those of Tim Burton's much-anticipated film Batman, which had been the bigger hit domestically. Also in 1989, he re-united with actor Richard Dreyfuss for the romantic comedy-drama Always, about a daredevil pilot who extinguishes forest fires. Spielberg's first romantic film, Always was only a moderate success and had mixed reviews.",When did the 3rd Indiana Jones film come out?,What was the 3rd Indiana Jones film called?,Who played Indiana Jones's father?,Who directed 'Batman'?,1989,Indiana Jones and the Last Crusade,Sean Connery,Tim Burton
829,1043,"After working for many years at the University of Chicago, Arthur Holly Compton returned to St. Louis in 1946 to serve as Washington University's ninth chancellor. Compton reestablished the Washington University football team, making the declaration that athletics were to be henceforth played on a ""strictly amateur"" basis with no athletic scholarships. Under Comptonâ€™s leadership, enrollment at the University grew dramatically, fueled primarily by World War II veterans' use of their GI Bill benefits.",What role did Arthur Holly Compton serve at Washington University?,Who reestablished Washington University's football team?,What helped lead to the increase of enrollment at Washington University during Arthur Holly Compton's term as chancellor?,What declaration did Arthur Holly Compton make about athletics at Washington University?,chancellor,Arthur Holly Compton,World War II veterans' use of their GI Bill benefits,"athletics were to be henceforth played on a ""strictly amateur"" basis with no athletic scholarships."
830,1045,"After wrapping up in England, production travelled to Morocco in June, with filming taking place in Oujda, Tangier and Erfoud, after preliminary work was completed by the production's second unit. An explosion filmed in Morocco holds a Guinness World Record for the ""Largest film stunt explosion"" in cinematic history, with the record credited to production designer Chris Corbould. Principal photography concluded on 5 July 2015. A wrap-up party for Spectre was held in commemoration before entering post-production. Filming took 128 days.",Which three locations in Morocco were used in filming?,What Guinness record was set during the filming of Spectre?,Who was the Guinness record attributed to?,How long did it take to shoot Spectre?,"Oujda, Tangier and Erfoud",Largest film stunt explosion,Chris Corbould,128 days
831,1046,"After years of demanding greater political autonomy, residents were given the right to directly elect a Head of Government and the representatives of the unicameral Legislative Assembly by popular vote in 1997. Ever since, the left-wing Party of the Democratic Revolution (PRD) has controlled both of them. In recent years, the local government has passed a wave of liberal policies, such as abortion on request, a limited form of euthanasia, no-fault divorce, and same-sex marriage. On January 29, 2016, it ceased to be called the Federal District (Spanish: Distrito Federal or D.F.) and is now in transition to become the country's 32nd federal entity, giving it a level of autonomy comparable to that of a state. Because of a clause in the Mexican Constitution, however, as the seat of the powers of the Union, it can never become a state, lest the capital of the country be relocated elsewhere.",Why can't Mexico City become a state?,When did people become able to vote for representation?,What political party controls the Mexico City legislature? ,What was Mexico City's old affiliation with the nation of Mexico?,Because of a clause in the Mexican Constitution,1997,Party of the Democratic Revolution (PRD),Federal District
832,1048,"After years of high increase, the unemployment in Portugal has been in a continuous falling trend since the third quarter of 2014, decreasing from a peak of 17.7% achieved in the early 2013 to a rate of 11.9% in the second quarter of 2015. However, it is high still high compared with what was the normal average Portuguese unemployment rate in the past. In the second quarter of 2008 the unemployment rate was 7.3%, but the rate immediately rose the following period. By December 2009, unemployment had surpassed the 10% mark nationwide in the wake of worldwide events, by 2010, the rate was around 11% and in 2011 it was above 12%.[citation needed] The first quarter of 2013 signified a new unemployment rate record for Portugal, as it reached 17.7%â€” up from 17% in the previous quarter â€” and the Government has predicted an 18.5% unemployment rate in 2014. However, in the third quarter of the same year, it has surprisingly declined to a rate of 15.6%. From then on, the unemployment downtrend continued, declining to 13.9% in the second semester of 2014 and to 11.9% in the second quarter of 2015.",Since when has the Portugal unemployment rate been in a falling trend?,To what percentage did the unemployment rate peak at?,"In the second quarter of 2008, what was the Portuguese unemployment rate?",By when did the Portuguese unemployment rate pass the 10% mark?,third quarter of 2014,17.70%,7.30%,9-Dec
833,1049,"After years of negotiation, three Great Powers, Russia, the United Kingdom and France, decided to intervene in the conflict and each nation sent a navy to Greece. Following news that combined Ottomanâ€“Egyptian fleets were going to attack the Greek island of Hydra, the allied fleet intercepted the Ottomanâ€“Egyptian fleet at Navarino. After a week-long standoff, a battle began which resulted in the destruction of the Ottomanâ€“Egyptian fleet. A French expeditionary force was dispatched to supervise the evacuation of the Egyptian army from the Peloponnese, while the Greeks proceeded to the captured part of Central Greece by 1828. As a result of years of negotiation, the nascent Greek state was finally recognized under the London Protocol in 1830.",What three countries sent their Navy to Greece?,Which navy's ships intended to attack Hydra?,Which navy won the battle of Hydra?,The recognition of a Greek state happened in what year?,"Russia, the United Kingdom and France",Ottomanâ€“Egyptian,the allied fleet,1830
834,1051,"Against the rested and re-armed Pusan Perimeter defenders and their reinforcements, the KPA were undermanned and poorly supplied; unlike the UN Command, they lacked naval and air support. To relieve the Pusan Perimeter, General MacArthur recommended an amphibious landing at Inchon (now known as Incheon), near Seoul and well over 100 miles (160 km) behind the KPA lines. On 6 July, he ordered Major General Hobart R. Gay, Commander, 1st Cavalry Division, to plan the division's amphibious landing at Incheon; on 12â€“14 July, the 1st Cavalry Division embarked from Yokohama, Japan to reinforce the 24th Infantry Division inside the Pusan Perimeter.",Why did General MacArthur suggest an amphibious landing at Inchon?,Who did General MacArthur ask to plan the amphibious attack?,Where did the 1st Infantry deploy from?,Why were KPA forces unable to adequately defend themselves against UN forces?,To relieve the Pusan Perimeter,Major General Hobart R. Gay,"Yokohama, Japan",the KPA were undermanned and poorly supplied
835,1053,"Age, diameter, height, radial growth, geographical location, site and growing conditions, silvicultural treatment, and seed source, all to some degree influence wood density. Variation is to be expected. Within an individual tree, the variation in wood density is often as great as or even greater than that between different trees (Timell 1986). Variation of specific gravity within the bole of a tree can occur in either the horizontal or vertical direction. :)",What should be anticipated because of the many factors that influence wood's density?,What specific type of growth has an effect on the density of wood?,Which part of a tree can have vertical or horizontal variation in its specific gravity?,Variation in what measurement is sometimes greater within one tree than from one tree to another?,Variation,radial,bole,density
836,1054,"Agricultural diversity can also be divided by whether it is â€˜plannedâ€™ diversity or â€˜associatedâ€™ diversity. This is a functional classification that we impose and not an intrinsic feature of life or diversity. Planned diversity includes the crops which a farmer has encouraged, planted or raised (e.g.: crops, covers, symbionts and livestock, among others), which can be contrasted with the associated diversity that arrives among the crops, uninvited (e.g.: herbivores, weed species and pathogens, among others).",What are two types of Agricultural diversity?,"What type of diversity includes the crops which a farmer has encouraged, planted or raised?",What type of diversity arrives uninvited?,What type of diversity includes herbivores and pathogens?,â€˜plannedâ€™ diversity or â€˜associatedâ€™ diversity,Planned diversity,associated diversity,associated diversity
837,1056,"Agricultural production on the island is difficult given the dry and rocky terrain, but the early settlers managed to produce vegetables, cotton, pineapples, salt, bananas and also fishing. Sweet potato is also grown in patches. The islanders developed commerce through the port of Gustavia. Duty-free port attractions, retail trade, high-end tourism (mostly from North America) and its luxury hotels and villas have increased the island's prosperity, reflected in the high standard of living of its citizens.",What is often difficult on the island?,What type of activity did early settlers use to get food that didn't involve farming?,What is the name of the main commercial port in St. Barts?,What is grown in patches on the island?,Agricultural production,fishing,Gustavia,Sweet potato
838,1057,"Agricultural protectionismâ€”a rare exception to Switzerland's free trade policiesâ€”has contributed to high food prices. Product market liberalisation is lagging behind many EU countries according to the OECD. Nevertheless, domestic purchasing power is one of the best in the world. Apart from agriculture, economic and trade barriers between the European Union and Switzerland are minimal and Switzerland has free trade agreements worldwide. Switzerland is a member of the European Free Trade Association (EFTA).",What has contributed to high food prices in Switzerland?,What type of trade agreements does Switzerland have worldwide?,What is the EFTA?,What is Switzerland's world ranking in domestic purchasing power?,Agricultural protectionism,free,European Free Trade Association,one of the best
839,1058,"Agriculture accounted for less than 20% of both net material product and total employment before the dissolution of the Soviet Union in 1991. After independence, the importance of agriculture in the economy increased markedly, its share at the end of the 1990s rising to more than 30% of GDP and more than 40% of total employment. This increase in the importance of agriculture was attributable to food security needs of the population in the face of uncertainty during the first phases of transition and the collapse of the non-agricultural sectors of the economy in the early 1990s. As the economic situation stabilized and growth resumed, the share of agriculture in GDP dropped to slightly over 20% (2006 data), although the share of agriculture in employment remained more than 40%.",Why did agriculture become so significant for Armenia's economy?,Was agriculture more important before or after Armenia left the Soviet Union?,How much of total employment did agriculture account for at the end of the 1990s?,How much of the GDP has agriculture accounted for most recently?,food security needs,After,40%,20%
840,1059,"Agriculture and food and drink production continue to be major industries in the county, employing over 15,000 people. Apple orchards were once plentiful, and Somerset is still a major producer of cider. The towns of Taunton and Shepton Mallet are involved with the production of cider, especially Blackthorn Cider, which is sold nationwide, and there are specialist producers such as Burrow Hill Cider Farm and Thatchers Cider. Gerber Products Company in Bridgwater is the largest producer of fruit juices in Europe, producing brands such as ""Sunny Delight"" and ""Ocean Spray."" Development of the milk-based industries, such as Ilchester Cheese Company and Yeo Valley Organic, have resulted in the production of ranges of desserts, yoghurts and cheeses, including Cheddar cheeseâ€”some of which has the West Country Farmhouse Cheddar Protected Designation of Origin (PDO).",What area employs 15000 people in the couinty,What type of orchids used to be pleantiful ,What area is important to the fruit juice industry ,What area is PDO ,"Agriculture and food and drink production continue to be major industries in the county, employing over 15,000 people","Apple orchards were once plentiful, and Somerset is still a major producer of cider","Gerber Products Company in Bridgwater is the largest producer of fruit juices in Europe, producing brands such as ""Sunny Delight"" and ""Ocean Spray",Cheddar cheeseâ€”some of which has the West Country Farmhouse Cheddar Protected Designation of Origin (PDO).
841,1060,"Agriculture and forestry have declined in importance over the decades. Nevertheless, they are more important than in the most other areas of Germany, especially within rural regions. 54% of Thuringia's territory is in agricultural use. The fertile basins such as the large Thuringian Basin or the smaller Goldene Aue, Orlasenke and Osterland are in intensive use for growing cereals, vegetables, fruits and energy crops. Important products are apples, strawberries, cherries and plums in the fruit sector, cabbage, potatoes, cauliflower, tomatoes (grown in greenhouses), onions, cucumbers and asparagus in the vegetable sector, as well as maize, rapeseed, wheat, barley and sugar beets in the crop sector.",What is something more important to Thuringia than most areas of Germany?,How much of Thuringia's territory is in agricultural use?,What is the largest fertile area of Thuringia?,Where do they grow tomatoes in Thuringia?,Agriculture and forestry,54%,the large Thuringian Basin,greenhouses
842,1061,"Agriculture and horticulture seek to optimize the capture of solar energy in order to optimize the productivity of plants. Techniques such as timed planting cycles, tailored row orientation, staggered heights between rows and the mixing of plant varieties can improve crop yields. While sunlight is generally considered a plentiful resource, the exceptions highlight the importance of solar energy to agriculture. During the short growing seasons of the Little Ice Age, French and English farmers employed fruit walls to maximize the collection of solar energy. These walls acted as thermal masses and accelerated ripening by keeping plants warm. Early fruit walls were built perpendicular to the ground and facing south, but over time, sloping walls were developed to make better use of sunlight. In 1699, Nicolas Fatio de Duillier even suggested using a tracking mechanism which could pivot to follow the Sun. Applications of solar energy in agriculture aside from growing crops include pumping water, drying crops, brooding chicks and drying chicken manure. More recently the technology has been embraced by vinters, who use the energy generated by solar panels to power grape presses.","During the Little Ice Age, what did English and French farmers use to increase collection of solar energy?",Vinters have adopted solar technology to do what?,Why do agriculture and horticulture seek to make the most use of the solar energy captured?,What are some techniques used to improve crop production?,fruit walls,power grape presses,to optimize the productivity of plants,"timed planting cycles, tailored row orientation, staggered heights between rows and the mixing of plant varieties"
843,1062,"Agriculture in Portugal is based on small to medium-sized family-owned dispersed units. However, the sector also includes larger scale intensive farming export-oriented agrobusinesses backed by companies (like Grupo RAR's Vitacress, Sovena, Lactogal, Vale da Rosa, Companhia das LezÃ­rias and Valouro). The country produces a wide variety of crops and livestock products, including tomatoes, citrus, green vegetables, rice, corn, barley, olives, oilseeds, nuts, cherries, bilberry, table grapes, edible mushrooms, dairy products, poultry and beef.",Upon what is Portuguese agriculture based?,"What types of companies back more large scale, export-oriented agrobusinesses in Portugal?",What types of crops does Portugal produce?,What types of livestock products does Portugal produce?,small to medium-sized family-owned dispersed units,"Grupo RAR's Vitacress, Sovena, Lactogal, Vale da Rosa, Companhia das LezÃ­rias and Valouro","tomatoes, citrus, green vegetables, rice, corn, barley, olives, oilseeds, nuts, cherries, bilberry, table grapes, edible mushrooms","dairy products, poultry and beef"
844,1063,"Agriculture is a relatively small component of the state's economy and varies greatly due to the varying climate across the state. The state ranked first in Mexico for the production of the following crops: oats, chile verde, cotton, apples, pecans, and membrillo. The state has an important dairy industry with large milk processors throughout the state. Delicias is home to Alpura, the second-largest dairy company in Mexico. The state has a large logging industry ranking second in oak and third in pine in Mexico. The mining industry is a small but continues to produce large amounts of minerals. The state ranked first place in the country for the production of lead with 53,169 metric tons. Chihuahua ranked second in Mexico for zinc at 150,211 metric tons, silver at 580,271 kg, and gold at 15,221.8 kg.",Agriculture varies across the state because of the variation in what?,Which fruit does the state rank first in production?,The state produces lots of dairy which large processors of what dairy product?,The state ranks second in the production of what type of wood?,climate,apples,milk,oak
845,1064,"Agriculture is almost entirely dependent on angiosperms, which provide virtually all plant-based food, and also provide a significant amount of livestock feed. Of all the families of plants, the Poaceae, or grass family (grains), is by far the most important, providing the bulk of all feedstocks (rice, corn â€” maize, wheat, barley, rye, oats, pearl millet, sugar cane, sorghum). The Fabaceae, or legume family, comes in second place. Also of high importance are the Solanaceae, or nightshade family (potatoes, tomatoes, and peppers, among others), the Cucurbitaceae, or gourd family (also including pumpkins and melons), the Brassicaceae, or mustard plant family (including rapeseed and the innumerable varieties of the cabbage species Brassica oleracea), and the Apiaceae, or parsley family. Many of our fruits come from the Rutaceae, or rue family (including oranges, lemons, grapefruits, etc.), and the Rosaceae, or rose family (including apples, pears, cherries, apricots, plums, etc.).",On what is agriculture almost completely dependent?,What family of plants is most important for human sustenance?,What is the more common name of the Fabaceae?,"What family do potatoes, tomatoes and peppers belong to?",angiosperms,Poaceae,legume,Solanaceae
846,1065,"Agriculture is dominated by the cultivation and sale of food crops such as cassava, peanuts, maize, sorghum, millet, sesame, and plantain. The annual real GDP growth rate is just above 3%. The importance of food crops over exported cash crops is indicated by the fact that the total production of cassava, the staple food of most Central Africans, ranges between 200,000 and 300,000 tonnes a year, while the production of cotton, the principal exported cash crop, ranges from 25,000 to 45,000 tonnes a year. Food crops are not exported in large quantities, but still constitute the principal cash crops of the country, because Central Africans derive far more income from the periodic sale of surplus food crops than from exported cash crops such as cotton or coffee.[citation needed] Much of the country is self-sufficient in food crops; however, livestock development is hindered by the presence of the tsetse fly.[citation needed]",What type of agriculture is popular in the CAR?,The economy grows at what rate in the last few years?,How many tonnes of Cassave is produced per year?,What product is produced that is exported?,food crops,3%,"200,000 and 300,000",cotton
847,1066,"Agrobacterium tumefaciens, a soil rhizosphere bacterium, can attach to plant cells and infect them with a callus-inducing Ti plasmid by horizontal gene transfer, causing a callus infection called crown gall disease. Schell and Van Montagu (1977) hypothesised that the Ti plasmid could be a natural vector for introducing the Nif gene responsible for nitrogen fixation in the root nodules of legumes and other plant species. Today, genetic modification of the Ti plasmid is one of the main techniques for introduction of transgenes to plants and the creation of genetically modified crops.",How can a bacteria in the soil affect a plant?,How can scientists use bacteria in the study of plants?,How are genes transferred to a plant by scientists?,What is this kind of introduction and transfer used for?,can attach to plant cells,introducing the Nif gene,in the root nodules,creation of genetically modified crops
848,1068,"Ahom Kingdom (1228â€“1826) was a kingdom and tribe which rose to prominence in present-day Assam early in the thirteenth century. They ruled much of Assam from the 13th century until the establishment of British rule in 1838. The Ahoms brought with them a tribal religion and a language of their own, however they later merged with the Hindu religion. From thirteenth till seventeenth century, repeated attempts were made by the Muslim rulers of Delhi to invade and subdue Ahoms, however the Ahoms managed to maintain their independence and ruled themselves for nearly 600 years.",What kingdom came to power in Assam?,What was the span of time fro the Ahom Kingdom?,What event caused the end of Ahom rule in Assam?,With what religion did the Ahom merge?,Ahom Kingdom,1228â€“1826,British rule,Hindu
849,1069,"Air Force officer promotions are governed by the Defense Officer Personnel Management Act of 1980 and its companion Reserve Officer Personnel Management Act (ROPMA) for officers in the Air Force Reserve and the Air National Guard. DOPMA also establishes limits on the number of officers that can serve at any given time in the Air Force. Currently, promotion from second lieutenant to first lieutenant is virtually guaranteed after two years of satisfactory service. The promotion from first lieutenant to captain is competitive after successfully completing another two years of service, with a selection rate varying between 99% and 100%. Promotion to major through major general is through a formal selection board process, while promotions to lieutenant general and general are contingent upon nomination to specific general officer positions and subject to U.S. Senate approval.",What are Air Force Officer promotions overseen by?,Was does ROPMA stand for in the USAF? ,Who establishes limits on the amount of Air Force officers? ,How long does it usually take to be promoted from second to first lieutenant in the USAF? ,Defense Officer Personnel Management Act of 1980,Reserve Officer Personnel Management Act,DOPMA,virtually guaranteed after two years
850,1070,"Air defence in naval tactics, especially within a carrier group, is often built around a system of concentric layers with the aircraft carrier at the centre. The outer layer will usually be provided by the carrier's aircraft, specifically its AEW&C aircraft combined with the CAP. If an attacker is able to penetrate this layer, then the next layers would come from the surface-to-air missiles carried by the carrier's escorts; the area-defence missiles, such as the RIM-67 Standard, with a range of up to 100 nmi, and the point-defence missiles, like the RIM-162 ESSM, with a range of up to 30 nmi. Finally, virtually every modern warship will be fitted with small-calibre guns, including a CIWS, which is usually a radar-controlled Gatling gun of between 20mm and 30mm calibre capable of firing several thousand rounds per minute.",Air defence in such places as a carrier group are built around what?,What protects the outer layer?,The next layer's surface-to-air missiles are carried by what?,What is the range in nautical miles of the RIM-67 Standard?,a system of concentric layers,AEW&C aircraft combined with the CAP,the carrier's escorts,100
851,1072,"Airborne Interception radar (AI) was unreliable. The heavy fighting in the Battle of Britain had eaten up most of Fighter Command's resources, so there was little investment in night fighting. Bombers were flown with airborne search lights out of desperation[citation needed], but to little avail. Of greater potential was the GL (Gunlaying) radar and searchlights with fighter direction from RAF fighter control rooms to begin a GCI system (Ground Control-led Interception) under Group-level control (No. 10 Group RAF, No. 11 Group RAF and No. 12 Group RAF).",What was considered unreliable?,What used most of Fighter Command's resources?,The bombers used what out of desperation?,Gunlaying radar and RAF controls combined to create what system?,Airborne Interception radar,the Battle of Britain,airborne search lights,Ground Control-led Interception
852,1073,"Airlift is ""operations to transport and deliver forces and materiel through the air in support of strategic, operational, or tactical objectives"" (AFDD 3â€“17, Air Mobility Operations). The rapid and flexible options afforded by airlift allow military forces and national leaders the ability to respond and operate in a variety of situations and time frames. The global reach capability of airlift provides the ability to apply US power worldwide by delivering forces to crisis locations. It serves as a US presence that demonstrates resolve and compassion in humanitarian crisis.",What is the definition of Airlift according to the Air Mobility Operations? ,What objectives does Airlift support? ,How does the US employ the global reach capability of airlift? ,What does this US presence represent during a humanitarian crisis? ,operations to transport and deliver forces and materiel through the air,"strategic, operational, or tactical",delivering forces to crisis locations,resolve and compassion
853,1074,"Airport construction boomed during the 1960s with the increase in jet aircraft traffic. Runways were extended out to 3,000 m (9,800 ft). The fields were constructed out of reinforced concrete using a slip-form machine that produces a continual slab with no disruptions along the length. The early 1960s also saw the introduction of jet bridge systems to modern airport terminals, an innovation which eliminated outdoor passenger boarding. These systems became commonplace in the United States by the 1970s.",Why did airport construction boom during the 1960s?,How far were runways extended out?,What was constructed out of reinforced concrete?,When were jet bridge systems introduced to modern airport terminals?,increase in jet aircraft traffic,"9,800 ft",The fields,early 1960s
854,1075,"Airports are divided into landside and airside areas. Landside areas include parking lots, public transportation train stations and access roads. Airside areas include all areas accessible to aircraft, including runways, taxiways and aprons. Access from landside areas to airside areas is tightly controlled at most airports. Passengers on commercial flights access airside areas through terminals, where they can purchase tickets, clear security check, or claim luggage and board aircraft through gates. The waiting areas which provide passenger access to aircraft are typically called concourses, although this term is often used interchangeably with terminal.",Airports are divided into what two areas?,What do landside areas include?,What do airside areas include?,Where can passengers purchase tickets?,landside and airside,"parking lots, public transportation train stations and access roads","all areas accessible to aircraft, including runways, taxiways and aprons",terminals
855,1078,"Ajahn Sucitto describes the path as ""a mandala of interconnected factors that support and moderate each other."" The eight factors of the path are not to be understood as stages, in which each stage is completed before moving on to the next. Rather, they are understood as eight significant dimensions of one's behaviourâ€”mental, spoken, and bodilyâ€”that operate in dependence on one another; taken together, they define a complete path, or way of living.","Who describes the Noble Eightfold Path as ""a mandala of interconnected factors that support and moderate each other.""?",How are the eight factors of the Noble Eightfold Path to be understood?,What can one's behaviour be divided into?,"Who describes the path as ""a mandala of interconnected factor that support and moderate each other""?",Ajahn Sucitto,as eight significant dimensions of one's behaviour,"mental, spoken, and bodily",Ajahn Sucitto
856,1079,"Akbar's son, Jahangir more or less followed father's policy. The Mughal dynasty ruled most of the Indian subcontinent by 1600. The reign of Shah Jahan was the golden age of Mughal architecture. He erected several large monuments, the most famous of which is the Taj Mahal at Agra, as well as the Moti Masjid, Agra, the Red Fort, the Jama Masjid, Delhi, and the Lahore Fort. The Mughal Empire reached the zenith of its territorial expanse during the reign of Aurangzeb and also started its terminal decline in his reign due to Maratha military resurgence under Shivaji. Historian Sir. J.N. Sarkar wrote, ""All seemed to have been gained by Aurangzeb now, but in reality all was lost."" The same was echoed by Vincent Smith: ""The Deccan proved to be the graveyard not only of Aurangzeb's body but also of his empire"".",By what date did the Mughal dynasty rule most of India?,What famous monument did Shah Jahan build at Agra?,During whose reign did the Mughal Empire reach its greatest expanse?,What actions caused the decline of the Mughal Empire?,1600,Taj Mahal,Aurangzeb,Maratha military resurgence
857,1080,"Al-Azhar University, founded in Cairo, Egypt in 975 by the IsmaÊ»Ä«lÄ« ShÄ«Ê»Ä« Fatimid dynasty as a jÄmiÊ»ah, had individual faculties for a theological seminary, Islamic law and jurisprudence, Arabic grammar, Islamic astronomy, early Islamic philosophy and logic in Islamic philosophy. The postgraduate doctorate in law was only obtained after ""an oral examination to determine the originality of the candidate's theses"", and to test the student's ""ability to defend them against all objections, in disputations set up for the purpose."" â€˜Abd al-Laá¹­Ä«f al-BaghdÄdÄ« also delivered lectures on Islamic medicine at al-Azhar, while Maimonides delivered lectures on medicine and astronomy there during the time of Saladin. Another early jÄmiÊ»ah was the Niáº“ÄmÄ«yah of BaghdÄd (founded 1091), which has been called the ""largest university of the Medieval world."" Mustansiriya University, established by the Ê»AbbÄsid caliph al-Mustaná¹£ir in 1233, in addition to teaching the religious subjects, offered courses dealing with philosophy, mathematics and the natural sciences.",When was Al-Azhar University founded?,Where is Al-Azhar University located?,What was required to earn a law degree at Al-Azhar University?,Who was an astronomy professor at Al-Azhar University?,975,"Cairo, Egypt",an oral examination,Maimonides
858,1081,"Alan Dershowitz described Sudan as an example of a government that ""actually deserve(s)"" the appellation ""apartheid."" Former Canadian Minister of Justice Irwin Cotler echoed the accusation.",Who was the Canadian Minister of Justice?,How did Alan Dershozitz describe the Sudan?,Who argeed with Dershowitz?,Where did Irwin Cotler live?,Irwin Cotler,"an example of a government that ""actually deserve(s)"" the appellation ""apartheid.""",Irwin Cotler,Canadian
859,1082,"Alaska (i/É™ËˆlÃ¦skÉ™/) is a U.S. state situated in the northwest extremity of the Americas. The Canadian administrative divisions of British Columbia and Yukon border the state to the east while Russia has a maritime border with the state to the west across the Bering Strait. To the north are the Chukchi and Beaufort Seas, the southern parts of the Arctic Ocean. To the south and southwest is the Pacific Ocean. Alaska is the largest state in the United States by area, the 3rd least populous and the least densely populated of the 50 United States. Approximately half of Alaska's residents (the total estimated at 738,432 by the Census Bureau in 2015) live within the Anchorage metropolitan area. Alaska's economy is dominated by the fishing, natural gas, and oil industries, resources which it has in abundance. Military bases and tourism are also a significant part of the economy.",How many of Alaska's residents reside in the Anchorage area?,What is Alaska's total population according to the 2015 Census?,Which industries are most prevalent in Alaska's economy?,Where does Alaska rank in population comparative to other US states?,Approximately half,"738,432","fishing, natural gas, and oil",3rd least populous
860,1084,"Alaska has vast energy resources, although its oil reserves have been largely depleted. Major oil and gas reserves were found in the Alaska North Slope (ANS) and Cook Inlet basins, but according to the Energy Information Administration, by February 2014 Alaska had fallen to fourth place in the nation in crude oil production after Texas, North Dakota, and California. Prudhoe Bay on Alaska's North Slope is still the second highest-yielding oil field in the United States, typically producing about 400,000 barrels per day (64,000 m3/d), although by early 2014 North Dakota's Bakken Formation was producing over 900,000 barrels per day (140,000 m3/d). Prudhoe Bay was the largest conventional oil field ever discovered in North America, but was much smaller than Canada's enormous Athabasca oil sands field, which by 2014 was producing about 1,500,000 barrels per day (240,000 m3/d) of unconventional oil, and had hundreds of years of producible reserves at that rate.",What other states rank higher than Alaska in crude oil production?,How does Alaska rate in comparison with other states in crude oil production?,Which area in Alaska is the nation's second highest-yielding oil field?,How many barrels of oil does Prudhoe Bay produce per day?,"Texas, North Dakota, and California",fourth,Prudhoe Bay,"400,000"
861,1085,"Alaska is the northernmost and westernmost state in the United States and has the most easterly longitude in the United States because the Aleutian Islands extend into the eastern hemisphere. Alaska is the only non-contiguous U.S. state on continental North America; about 500 miles (800 km) of British Columbia (Canada) separates Alaska from Washington. It is technically part of the continental U.S., but is sometimes not included in colloquial use; Alaska is not part of the contiguous U.S., often called ""the Lower 48"". The capital city, Juneau, is situated on the mainland of the North American continent but is not connected by road to the rest of the North American highway system.",What are the contiguous states sometimes called?,What is Alaska's capital city?,How many miles are between Alaska and Washington state?,Which set of islands extend into the Eastern Hemisphere?,"""the Lower 48""",Juneau,500,Aleutian Islands
862,1086,"Alaska regularly supports Republicans in presidential elections and has done so since statehood. Republicans have won the state's electoral college votes in all but one election that it has participated in (1964). No state has voted for a Democratic presidential candidate fewer times. Alaska was carried by Democratic nominee Lyndon B. Johnson during his landslide election in 1964, while the 1960 and 1968 elections were close. Since 1972, however, Republicans have carried the state by large margins. In 2008, Republican John McCain defeated Democrat Barack Obama in Alaska, 59.49% to 37.83%. McCain's running mate was Sarah Palin, the state's governor and the first Alaskan on a major party ticket. Obama lost Alaska again in 2012, but he captured 40% of the state's vote in that election, making him the first Democrat to do so since 1968.",Which political party does Alaska generally support?,How many elections have Democrats won in Alaska?,Which candidate was the only Democrat to win Alaska in a landslide election in 1964?,Which Democratic candidate was the first to win 40% of the vote in Alaska since 1964?,Republicans,one,Lyndon B. Johnson,Barack Obama
863,1087,"Alaska's economy depends heavily on increasingly expensive diesel fuel for heating, transportation, electric power and light. Though wind and hydroelectric power are abundant and underdeveloped, proposals for statewide energy systems (e.g. with special low-cost electric interties) were judged uneconomical (at the time of the report, 2001) due to low (less than 50Â¢/gal) fuel prices, long distances and low population. The cost of a gallon of gas in urban Alaska today is usually 30â€“60Â¢ higher than the national average; prices in rural areas are generally significantly higher but vary widely depending on transportation costs, seasonal usage peaks, nearby petroleum development infrastructure and many other factors.",Why were alternative energy sources judged uneconomical in 2001?,"How much does gas cost in Alaska, in comparison to the national average?","What are some reasons why gas prices may vary in Alaska, especially?",What does Alaska's economy heavily rely on?,"low (less than 50Â¢/gal) fuel prices, long distances and low population",30â€“60Â¢ higher,"transportation costs, seasonal usage peaks, nearby petroleum development infrastructure",diesel fuel
